County,Farm Name,Fruits,Address,Phone,Email
Berrien County,Lazy Acres Vineyard,"Seedless table grapes, table grapes (with
seeds), wine grapes, picnic area you may bring your own food3858 E Shawnee Rd,
Berrien Springs , MI 49103","Lazy Acres Vineyard - Seedless table grapes, table grapes (with
seeds), wine grapes, picnic area you may bring your own food3858 E Shawnee Rd,
Berrien Springs , MI 49103.",(269) 471-1429,
Berrien County,Lehmans Orchard,"Uses integrated pest management practices, apples, blueberries, cherries,
red currants, black currants, raspberries (red), raspberries (black),
strawberries, Nectarines, Blueberries, Blackberries, Plums, ​Peaches, ​Tomatoes, Peppers, ​Pears, Sweet Cherries, Tart Cherries, Gooseberries, Honey from hives on the farm, Cider mill (fresh apple cider
made on the premises), porta","Lehmans Orchard -
Uses integrated pest management practices, apples, blueberries, cherries,
red currants, black currants, raspberries (red), raspberries (black),
strawberries, Nectarines, Blueberries, Blackberries, Plums, ​Peaches, ​Tomatoes, Peppers, ​Pears, Sweet Cherries, Tart Cherries, Gooseberries, Honey from hives on the farm, Cider mill (fresh apple cider
made on the premises), porta-potties are available, picnic area you may bring your own food2280 Portage Road, Niles, MI 49120.",269-683-9078,
Berrien County,"Mike's
Blueberries","Blueberries, from low bushes, restrooms11160 Farina Rd, New Buffalo, MI 49117","Mike's
Blueberries - Blueberries, from low bushes, restrooms11160 Farina Rd, New Buffalo, MI 49117.",269-469-2509,
Berrien County,Nye's Apple Barn and Farms,"apples, grapes, peaches,
cherries, blackberries, raspberries3151
Niles Avenue (m63), Saint Joseph, MI 49085","Nye's Apple Barn and Farms - apples, grapes, peaches,
cherries, blackberries, raspberries3151
Niles Avenue (m63), Saint Joseph, MI 49085.",(269) 429-0596,
Berrien County,Pete's U-pick,pick,"Pete's U-pick -
2021 permanently closed,
1623 E Lemon Creek Road, Berrien Springs, MI 49103.. Open: UPDATE for 2021, Their website says they are
permanently closed.
Pete's U-Pick has gone out of business and we are no longer farming. I am headed back to DC my work here is done. Thank you for your patronage and
wonderful friendship through the years. Stay safe and God bless you and your family.",,
Berrien County,"Piggott's Farm Market and
Bakery","farm market on the farm, Wide variety of seasonal, locally grown fruits and vegetables, Indoor
market, Covered outdoor market, Baked goods, Preserves, jams, jellies, 3824 E","Piggott's Farm Market and
Bakery - farm market on the farm, Wide variety of seasonal, locally grown fruits and vegetables, Indoor
market, Covered outdoor market, Baked goods, Preserves, jams, jellies, 3824 E. Napier Avenue, Benton Harbor, MI 49022.",269-876-9269,
Berrien County,"Prillwitz
Fruit Farm","apples, blueberries, sweet cherries, tart
cherries, peaches, plums, grapes, apple cider and pumpkins","Prillwitz
Fruit Farm - apples, blueberries, sweet cherries, tart
cherries, peaches, plums, grapes, apple cider and pumpkins.7196 E.
Main Street, Eau Claire, MI 49111.",269-461-6720,
Berrien County,Rambo Blueberries,"blueberries, U","Rambo Blueberries - blueberries, U-pick and already picked, porta-potties are available11306 Gast Road, Bridgman, MI 49106.",269-426-4074,
Berrien County,Sandoval Farm,"apples, U","Sandoval Farm - apples, U-pick and already picked4756
Hollywood Road, St. Joseph, MI 49085.",269-429-5049,
Berrien County,Shafer Orchards,"peaches, apples, grapes (Concord), pumpkins,
squash and gourdsShafer Road, Baroda, MI","Shafer Orchards - peaches, apples, grapes (Concord), pumpkins,
squash and gourdsShafer Road, Baroda, MI.",269-422-1972,
Berrien County,Sommerfeldf Farms,"sweet cherries, tomatoes, peppers,
pickles, cucumbers, pumpkins, winter squash","Sommerfeldf Farms - sweet cherries, tomatoes, peppers,
pickles, cucumbers, pumpkins, winter squash.1091093 S Benton Center
Road, Benton Harbor, MI 49022.",616-926-6959,
Berrien County,Springhope Farm,"apples, peaches, pumpkins, hayrides, picnic area
18720
Cleveland Avenue, Galien, MI 49113","Springhope Farm - apples, peaches, pumpkins, hayrides, picnic area
18720
Cleveland Avenue, Galien, MI 49113.",269-545-8313,
Berrien County,Starbucks Blueberry Farm - formerly Jone's Blueberries,formerly Jone's Blueberries,"Starbucks Blueberry Farm - formerly Jone's Blueberries - U-pick blueberries, Picnic area, clean Porta potties9245 Gast Road,
Bridgman, MI 49106.",269-465-4745,
Berrien County,Sweet Summer Gardens,"2021 permanently closed for pyo, already picked blueberries, gift shop, snacks and
refreshment stand, restroomsM","Sweet Summer Gardens -
2021 permanently closed for pyo, already picked blueberries, gift shop, snacks and
refreshment stand, restroomsM-140 Just North Of Hagar Shore Road,
Watervliet, MI 49098.",269-463-5786,
Berrien County,,Mendus Fruit,"Tree-Mendus Fruit - 2020 permanently closed9351 E Eureka Road, Eau Claire, MI 49111. Open: UPDATE for 2020, A visitor tells me they are
permanently closed. Very sadly, this farm
closed permanently this winter, and was sold in May to a new owner. Unclear
whether the new owner will operate the orchards, store, or anything else. If
you know, please write me. Tree-Mendus Fruit Farm in Eau Claire, Michigan, closed Dec. 31.According to radio station WSJM in St. Joseph, Michigan, The
farm made the announcement on Facebook in late December, saying the entire
450-acre property is now going on the market.The farm has been in the Teichman family for three generations, but it suffered
some big losses in 2019, starting with the death of Herb Teichman to start 2019,
followed by the polar vortex which took a heavy toll on fruit trees throughout
the region. This past summer, third-generation farm owner Bill Teichman fell ill with
Eastern Equine Encephalitis from a mosquito bite, and he's still recovering from
the disease that killed two-thirds of the people afflicted in the state this
year .Tree-Mendus Fruit closed for good on Dec. 31, 2019. The farm gained notoriety
nationwide for hosting the International Cherry Pit Spitting Championships every
Fourth of July since 1974.The farm is known in the area for its U-Pick and well beyond for its famous,
long-running International Cherry Pit-Spitting Competition.To read more and find out about the farm and the GoFundMe page to help support
the family,
click
here. The website is now owned by the Chinese News Service. (UPDATED: August 01, 2020)",,
Branch County,Hoff Vegetable Farm,"strawberries and tomatoes538 Marshall Road, Coldwater, MI 49036","Hoff Vegetable Farm -
strawberries and tomatoes538 Marshall Road, Coldwater, MI 49036.",517-278-2011,
Branch County,,"Minimizes chemical and pesticide use, apples, cherries, pears,
porta","Orchard Beach Farm - Minimizes chemical and pesticide use, apples, cherries, pears,
porta-potties122 Loch Haven Lane, Quincy, MI 49082.","(517)
639-4609",muirph@gmail.com?subject=Inquiry from a visitor to www.pickyourown.org//MIsouthwest.htm
Calhoun County,Bosserd Family Farm,"flowers, pumpkins, raspberries, prepicked
produce, petting zoo, farm animals, school tours, events at your location
(call for info)
14721 Verona Road, Marshall, MI 49068","Bosserd Family Farm - flowers, pumpkins, raspberries, prepicked
produce, petting zoo, farm animals, school tours, events at your location
(call for info)
14721 Verona Road, Marshall, MI 49068.",(269) 967-5284,
Calhoun County,,"red raspberries12700 Eleven Mile
Road, Ceresco, MI","Fox Ridge Farm - red raspberries12700 Eleven Mile
Road, Ceresco, MI.",616-979-4287,
Calhoun County,Harvey's U-pick Farm,pick Farm,"Harvey's U-pick Farm - blueberries, chestnuts, raspberries (Autumn, red), strawberries, 
2651 15 Mile Road, Tekonsha, MI 49092.",517-767-3408,
Cass County,Eckler's Produce,"blackberries, blueberries, raspberries
(Spring, red), raspberries (Spring, black), tomatoes, porta","Eckler's Produce - blackberries, blueberries, raspberries
(Spring, red), raspberries (Spring, black), tomatoes, porta-potties1879
Barron Lake Road, Niles, MI 49120.",(269) 683-2509,
Cass County,,"blueberries, U","PYO Blueberries - blueberries, U-pick and
already picked29485 Yaw Rd, Dowagiac, MI 49047. Open: unknown, new
owners as of July 2016; I'm waiting to hear from them or visitors as to what
the new contact information and hours are. Directions:
Click here for a map and directions. Naturally Grown High Bush Blue Crop
Blueberries in July. Payment: Cash, only. Formerly called Punkin's Pick.",,
Cass County,Sprague's Family Fun Farm,"apples, raspberries (red), raspberries
(Spring, red), pumpkins, restrooms, school tours33120 Middle Crossing Road,
Dowagiac, MI 49047","Sprague's Family Fun Farm -
apples, raspberries (red), raspberries
(Spring, red), pumpkins, restrooms, school tours33120 Middle Crossing Road,
Dowagiac, MI 49047.",(269) 782-8578,
Eaton County,,"2019 presumed permanently closed 
1300 Mount Hope Highway, Charlotte, MI 48813","Appleschram Organic Orchard and
Cider Mill -
2019 presumed permanently closed 
1300 Mount Hope Highway, Charlotte, MI 48813.",(517) 649-8957,
Eaton County,Atlas Orchards,"apples, blueberries, peaches, 3400 Maurer Rd, Charlotte , MI 48813","Atlas Orchards 
- apples, blueberries, peaches, 3400 Maurer Rd, Charlotte , MI 48813.",(586) 339-4133,
Eaton County,The Country Mill,"apples, winery, blueberries, cider mill, pumpkins,
Haunted Attractions, farm market4648 Otto Road, Charlotte, MI 48813","The Country Mill - apples, winery, blueberries, cider mill, pumpkins,
Haunted Attractions, farm market4648 Otto Road, Charlotte, MI 48813.","517-
543-1019",
Eaton County,,Blueberries680 E,"Randy Cook Farm - Blueberries680 E. 5
Point Highway, Charlotte, MI 48813.",517-543-0111,
Kalamazoo County,Gull Meadow Farms,"apples, pumpkins, gift shop, snacks
and refreshment stand, restrooms, picnic area, school tours
8854 Gull Road, Richland, MI 49083","Gull Meadow Farms - apples, pumpkins, gift shop, snacks
and refreshment stand, restrooms, picnic area, school tours
8854 Gull Road, Richland, MI 49083.",269-629-4214,
Kalamazoo County,Husted's Farm Market and Cider Mill,"apples, cherries,
flowers, pumpkins, Cider mill (fresh apple cider made on the
premises), and prepicked produce, snacks and refreshment stand,
restrooms, picnic area9191 West Main, Kalamazoo, MI 49009","Husted's Farm Market and Cider Mill - apples, cherries,
flowers, pumpkins, Cider mill (fresh apple cider made on the
premises), and prepicked produce, snacks and refreshment stand,
restrooms, picnic area9191 West Main, Kalamazoo, MI 49009.",269-372-2605,
Kalamazoo County,,"Uses natural growing practices,
flowers, raspberries (Autumn, red), 6129 East P Avenue,
Kalamazoo, MI 49048","Koenig's Kountry Pickins - 
Uses natural growing practices,
flowers, raspberries (Autumn, red), 6129 East P Avenue,
Kalamazoo, MI 49048.",269-327-7653,bethkoenig@ctsmail.net?subject=Inquiry from a visitor to www.PickYourOwn.org//MIsouthwest.htm
Kalamazoo County,Mitchells Blueberries,"CERTIFIED ORGANIC, blueberries, restrooms, picnic area,
picnic area you may bring your own food19230 CR 681, Grand Junction,
MI 49056","Mitchells Blueberries - CERTIFIED ORGANIC, blueberries, restrooms, picnic area,
picnic area you may bring your own food19230 CR 681, Grand Junction,
MI 49056.",269-568-6231,
Kalamazoo County,Sterling Acres,"blueberries, U","Sterling Acres - blueberries, U-pick and already picked, porta-potties are available6265 East Qr Avenue, Scotts, MI 49088.",269-207-7066,
Kalamazoo County,Verhage Farms,"apples, cherries, peaches,
hayrides, pumpkins8619 W M L Avenue, Kalamazoo, MI 49065","Verhage Farms - apples, cherries, peaches,
hayrides, pumpkins8619 W M L Avenue, Kalamazoo, MI 49065.",616-375-0153,
St. Joseph County,Corey Lake Orchards,"apples, blueberries, wine grapes, strawberries, Cider mill fresh apple cider made on the premises, porta","Corey Lake Orchards - apples, blueberries, wine grapes, strawberries, Cider mill fresh apple cider made on the premises, porta-potties, picnic
area, group reservations12147 Corey Lake Road, Three Rivers, MI 49093.",(269) 244-5690,
Van Buren County,Adams Farms,"Certified Organic,
blueberries, Aronia berries, farm stand, Maple Syrup from trees on the farm, U","Adams Farms - Certified Organic,
blueberries, Aronia berries, farm stand, Maple Syrup from trees on the farm, U-pick and already picked, porta-potties, picnic area you may bring your own food
69676 Cr 376, Hartford, MI 49057.",(269) 214-0873,
Van Buren County,Bernell Farms,"apples, cherries,
42601 County Road 673, Lawrence, MI 49064","Bernell Farms - apples, cherries,
42601 County Road 673, Lawrence, MI 49064.",269-674-3517,
Van Buren County,Berry Brothers Retail LLC,"blueberries, U","Berry Brothers Retail LLC - blueberries, U-pick and already picked, gift shop, concessions or refreshment stand, restrooms37146 30th Street,
Paw Paw, MI 49079.",(269) 657-3871,
Van Buren County,Bonamego Farms,in season,"Bonamego Farms - in season-grapes, chestnuts,
tree fruit, pepper, Asian pear, egg plants, Asian egg plants, okra, tomato,
etc. u-pick and prepicked, Also Christmas trees58041 48th Street,
Lawrence, MI 49064.",269-674-3541,
Van Buren County,Brookside Farms - Paw Paw Location,Paw Paw Location,"Brookside Farms - Paw Paw Location - blueberries, Honey from
hives on the farm, Maple Syrup from trees on the farm, U-pick and already
picked, gift shop, snacks and refreshment stand, restrooms34448 44th
Avenue, Paw Paw, MI 49079.",269-657-3500,
Van Buren County,Brookside Farms - Gobles Location,Gobles Location,"Brookside Farms - Gobles Location - blueberries, Honey from
hives on the farm, Maple Syrup from trees on the farm, U-pick and already
picked, gift shop, snacks and refreshment stand, restrooms37988 Co Rd
388, Gobles, MI 49055.",269-521-7655,
Van Buren County,Brookside Farms - Martin Location,Martin Location,"Brookside Farms - Martin Location - blueberries, Honey from
hives on the farm, Maple Syrup from trees on the farm, U-pick and already
picked, gift shop, snacks and refreshment stand, restrooms1475 116th Ave, Otsego, MI 49078.",269-672-5727,
Van Buren County,Cycle Source Berries,"raspberries33201
M","Cycle Source Berries - raspberries33201
M-43, Paw Paw, MI 49079.",269-628-5471,
Van Buren County,Degrandchamp Blueberries,"blueberries, raspberries,
cranberries76241 14th Avenue, South Haven, MI 49090","Degrandchamp Blueberries - blueberries, raspberries,
cranberries76241 14th Avenue, South Haven, MI 49090.",616-637-3915,
Van Buren County,Heintzman's Blueberries,"2021 permanently closed30315 Cr 388, Gobles, MI 49055","Heintzman's Blueberries
- 2021 permanently closed30315 Cr 388, Gobles, MI 49055.",269-628-4731,
Van Buren County,Hunts Hillside LLC,"Minimizes
chemical and pesticide use, raspberries (red), raspberries
(Spring, red), raspberries (Autumn, red), strawberries, U","Hunts Hillside LLC -
Minimizes
chemical and pesticide use, raspberries (red), raspberries
(Spring, red), raspberries (Autumn, red), strawberries, U-pick and already picked, porta-potties are available27867 66th Avenue, Lawton, MI 49065.",269-624-6513,
Van Buren County,Joe's Blues,"blueberries, porta","Joe's Blues - blueberries, porta-potties are available, picnic area61687
34th Ave, Bangor, MI 49013.",847-293-1690,
Van Buren County,Krohne Plant Farms Inc,"strawberries65295 CR 342,
Hartford, MI 49057","Krohne Plant Farms Inc - strawberries65295 CR 342,
Hartford, MI 49057.",269-424-5423,
Van Buren County,Lakeshore Country Farms,"blueberries, U","Lakeshore Country Farms - blueberries, U-pick and already picked,
restrooms47764 Woodland Dive, Bangor, MI 49013.",(630) 417-9596,
Van Buren County,Mandigo Farms,"strawberries, and prepicked produce, picnic area61077 41st Street, Paw Paw, MI 49079","Mandigo Farms - strawberries, and prepicked produce, picnic area61077 41st Street, Paw Paw, MI 49079.",269-657-5062,
Van Buren County,,"Uses integrated pest management practices,
apples, cherries, Cider mill fresh apple cider made on the premises,
restrooms, picnic area, farm animals, school tours28110 County Road 215,
Bangor, MI 49013","Schem Lane Orchards and Farm Market - Uses integrated pest management practices,
apples, cherries, Cider mill fresh apple cider made on the premises,
restrooms, picnic area, farm animals, school tours28110 County Road 215,
Bangor, MI 49013.",269-906-0816,nitchfitters@peoplepc.com?subject=Inquiry from a visitor to www.PickYourOwn.org//MIsouthwest.htm
Van Buren County,Schemenauer Farms,"blueberries, grapes, raspberries (red),
raspberries (Spring, red), raspberries (Autumn, red), tomatoes, other
vegetables, 26980 Cr 215, Bangor, MI 49013","Schemenauer Farms - blueberries, grapes, raspberries (red),
raspberries (Spring, red), raspberries (Autumn, red), tomatoes, other
vegetables, 26980 Cr 215, Bangor, MI 49013.",269-214-0837,
Van Buren County,"Schultz Fruitridge Farms, Inc.","apples, blueberries, cherries,
peaches, U","Schultz Fruitridge Farms, Inc. - apples, blueberries, cherries,
peaches, U-pick and already picked, farm market, porta-potties are available, picnic area,
school tours60139 County Road 652, Mattawan, MI 49071.",269-668-3724,
Van Buren County,Stokes Homestead Farm Market,"blueberries, pumpkins, gift shop,
concessions or refreshment stand, porta","Stokes Homestead Farm Market - blueberries, pumpkins, gift shop,
concessions or refreshment stand, porta-potties are available, restrooms, picnic area,
birthday parties, school tours, events at your location (call for info)13988 County Road 215, Grand Junction, MI 49056.",269-427-7777,
Van Buren County,True Blue Farms,"blueberries009548 CR 215, Grand Junction, MI 49056","True Blue Farms - blueberries009548 CR 215, Grand Junction, MI 49056.",269-434-8844,
Van Buren County,Vineyard 354 Family Farm,"blackberries, grapes, pumpkins,
raspberries (Autumn, red), concessions or refreshment stand, porta","Vineyard 354 Family Farm - blackberries, grapes, pumpkins,
raspberries (Autumn, red), concessions or refreshment stand, porta-potties are available,
picnic area, Bounce house, birthday parties, weddings and wedding parties,
school tours, events at your location (call for info)24777 County Road
354, Lawton, MI 49065.",540 903-1275,
Van Buren County,Westview Farm,"2020 permanently closed Mattawan, MI 49071","Westview Farm -
2020 permanently closed Mattawan, MI 49071. Open: UPDATE: July 03, 2020: The owner tells me they are now permanently closed",,
